"Title","Network","Season","Meta Score","# of critics","User score","Genre","Genre 2","Permise Date","# of rating"
"Desperate Housewives","ABC",": Season 1",,80,8.7,"Drama",,"October 3, 2004",160
"Boston Legal","ABC",": Season 1",,88,8.3,"Drama",,"October 3, 2004",51
"Hex","Sky One,Sky,Sky1",": Season 1",,80,8.5,"Comedy","Drama",,64
"The Biggest Loser","NBC",": Season 1",,63,,"Drama","Reality","October 19, 2004",10
"House","FOX",": Season 1",,91,8.8,"Drama","Suspense","November 16, 2004",261
24,"FOX",": Season 4",,90,8.7,"Drama","Action & Adventure","January 9, 2005",124
"Numb3rs","CBS",": Season 1",53,75,7.5,"Drama","Action & Adventure","January 23, 2005",39
"Bleak House","BBC-1,BBC",": Season 1",,90,9,"Drama",,,79
"I Shouldn't Be Alive","Discovery,Discovery Channel",": Season 1",,80,8.6,"Drama","Reality",,59
"Masters of Horror","SHOWTIME",": Season 1",,91,7,"Drama","Fantasy","October 28, 2005",32
"Vampire Bats","CBS",": Season 1",,,,"Drama","Movie/Mini-Series","October 30, 2005",12
"Sleeper Cell","SHOWTIME",": Season 1",,80,7.8,"Drama","Action & Adventure","December 4, 2005",83
"In Justice","ABC",": Season 1",48,63,8.8,"Drama",,"January 1, 2006",185
"The Book of Daniel","NBC",": Season 1",,88,,"Drama",,"January 6, 2006",204
"Life on Mars (UK)","BBC-1,BBC",": Season 1",,91,9,"Drama","Science Fiction",,90
24,"FOX",": Season 5",,90,9.1,"Drama","Action & Adventure","January 15, 2006",355
"South Beach","UPN",": Season 1",,63,8.6,"Drama",,"January 11, 2006",99
"Love Monkey","CBS,VH1",": Season 1",,80,7.9,"Comedy","Drama",,102
"Hotel Babylon","BBC-1,BBC,BBC America",": Season 1",,80,8.1,"Drama",,,24
"Miracle Workers","ABC",": Season 1",55,75,6.7,"Drama","Reality","March 6, 2006",15
"Conviction","NBC",": Season 1",44,70,7.7,"Drama","Suspense","March 3, 2006",123
"The Unit","CBS",": Season 1",,83,7.3,"Drama",,"March 7, 2006",179
"8th and Ocean","MTV,MTV - Music Television",": Season 1",45,75,8.2,"Drama","Reality",,38
"Big Love","HBO",": Season 1",,90,6.8,"Drama",,"March 12, 2006",148
"The Sopranos","HBO",": Season 6",,90,8.9,"Drama","Suspense","March 12, 2006",335
"The Evidence","ABC",": Season 1",40,90,8.4,"Drama",,"March 22, 2006",59
"The Real Housewives of Orange County","Bravo",": Season 1",59,70,,"Drama","Reality","March 21, 2006",14
"Heist","NBC",": Season 1",51,88,8.5,"Drama","Action & Adventure","March 22, 2006",86
"Thief","FX",": Season 1",,90,8.3,"Drama","Action & Adventure","March 28, 2006",100
"Huff","SHOWTIME",": Season 2",53,88,8,"Drama",,"April 2, 2006",28
"The Bedford Diaries","WB,The WB",": Season 1",,70,8.3,"Drama","Health & Lifestyle",,34
"Pepper Dennis","WB,The WB",": Season 1",,75,8.9,"Comedy","Drama",,126
"The Ten Commandments","ABC",": Season 1",,75,,"Drama",,"April 10, 2006",47
"What About Brian","ABC",": Season 1",41,75,8.9,"Drama",,"April 16, 2006",161
"Casanova","BBC,BBC-3,BBC Three",": Season 1",,83,8.2,"Comedy","Drama",,21
"Doctor Who","BBC-1,BBC,BBC America,BBC One",": Season 1",,80,8.5,"Comedy","Drama",,676
"Grey's Anatomy","ABC",": Season 1",,90,8.2,"Drama",,"March 27, 2005",246
"The Staircase","SUNDANCE,Sundance Channel,SundanceTV",": Season 1",,90,6.7,"Drama","Talk & Interview",,26
"The Closer","TNT",": Season 1",,90,8.5,"Drama","Suspense","June 13, 2005",52
"Weeds","SHOWTIME",": Season 1",,90,8.1,"Comedy","Drama","August 7, 2005",156
"Rome","HBO",": Season 1",,90,9.2,"Drama",,"August 28, 2005",233
"Prison Break","FOX",": Season 1",,91,9,"Drama","Action & Adventure","August 29, 2005",763
"Reunion","FOX",": Season 1",50,75,8.5,"Drama","Suspense","September 8, 2005",63
"Bones","FOX",": Season 1",55,88,7.3,"Comedy","Drama","September 13, 2005",320
"Supernatural","The CW,TWB",": Season 1",59,88,8.9,"Drama","Action & Adventure",,967
"Threshold","CBS",": Season 1",,88,7.9,"Drama","Science Fiction","September 16, 2005",84
"How I Met Your Mother","CBS",": Season 1",,88,8.5,"Comedy","Drama","September 19, 2005",983
"Surface","NBC",": Season 1",,80,8.7,"Drama","Action & Adventure","September 19, 2005",335
"Just Legal","WB,The WB",": Season 1",53,80,8.9,"Comedy","Drama",,87
"Invasion","ABC",": Season 1",,90,8.3,"Drama","Action & Adventure","September 21, 2005",267
"Criminal Minds","CBS",": Season 1",42,80,8.1,"Drama","Action & Adventure","September 22, 2005",284
"E-Ring","NBC",": Season 1",,80,8.2,"Drama",,"September 21, 2005",139
"Inconceivable","NBC",": Season 1",,63,8.5,"Drama",,"September 23, 2005",69
"Ghost Whisperer","CBS",": Season 1",,88,8.3,"Drama","Fantasy","September 23, 2005",267
"Desperate Housewives","ABC",": Season 2",49,88,8.3,"Drama",,"September 25, 2005",64
"Killer Instinct","FOX",": Season 1",,,8.5,"Drama",,"September 23, 2005",73
"Sex, Love & Secrets","UPN",": Season 1",41,70,8.4,"Drama",,"September 27, 2005",39
"Commander in Chief","ABC",": Season 1",56,80,8.4,"Drama",,"September 27, 2005",243
"Night Stalker","ABC",": Season 1",48,88,7.3,"Drama","Suspense","September 29, 2005",58
"Close to Home","CBS",": Season 1",54,75,7.4,"Drama","Suspense","October 4, 2005",52
"Star Trek: Enterprise","UPN",": Season 1",,90,7.4,"Drama","Action & Adventure","September 26, 2001",87
"Babylon 5","Syndicated,Other,SYN",": Season 1",55,80,8.7,"Drama","Suspense",,68
"COPS (1989)","FOX,Spike TV,Paramount Network",": Season 1",,90,,"Drama","Reality",,15
"Quantum Leap","NBC",": Season 1",,90,8.1,"Drama","Science Fiction","March 26, 1989",21
"Baywatch","Syndicated,NBC,Other",": Season 1",,,7,"Comedy","Drama",,10
"Twin Peaks","ABC,SHOWTIME",": Season 1",,90,9.3,"Drama","Suspense",,503
"Alien Nation (1989)","FOX",": Season 1",53,90,8,"Drama","Science Fiction","September 18, 1989",12
"Law & Order","NBC",": Season 1",,90,8.5,"Drama","Action & Adventure","September 13, 1990",21
"The Flash","CBS",": Season 1",,90,7.1,"Drama","Action & Adventure","September 20, 1990",43
"Picket Fences","CBS",": Season 1",,90,7.8,"Drama",,"September 18, 1992",21
"And the Band Played On","HBO",": Season 1",,80,,"Drama",,"January 1, 1993",18
"Homicide: Life on the Street","NBC",": Season 1",,90,8.6,"Drama","Suspense","January 31, 1993",41
"Star Trek: Deep Space Nine","Syndicated,Other,Syndicado",": Season 1",,91,8.5,"Drama","Action & Adventure",,94
"The X-Files","FOX",": Season 1",,83,8.7,"Drama","Action & Adventure","September 10, 1993",239
"Lois & Clark: The New Adventures of Superman","ABC",": Season 1",,91,8.7,"Drama","Action & Adventure","September 12, 1993",19
"TekWar","Syndicated,Syfy,USA,CTV",": Season 1",43,75,,"Drama","Science Fiction",,9
"My So-Called Life","ABC",": Season 1",,91,8.5,"Drama",,"August 25, 1994",39
"Star Trek: Voyager","UPN",": Season 1",,91,8,"Drama","Action & Adventure","January 16, 1995",80
"Murder One","ABC",": Season 1",,80,6.2,"Drama",,"September 19, 1995",49
"EZ Streets","CBS",": Season 1",,90,,"Drama",,"October 27, 1996",26
"Buffy the Vampire Slayer","WB,The WB",": Season 1",,90,8.2,"Drama","Action & Adventure",,313
"Oz","HBO",": Season 1",,83,7.7,"Drama","Suspense","July 12, 1997",95
"South Park","Comedy Central",": Season 1",,90,8.6,"Comedy","Animation","August 13, 1997",392
"Stargate SG-1","SHOWTIME,Syfy",": Season 1",48,70,8.1,"Drama","Action & Adventure",,127
"From the Earth to the Moon","HBO",": Season 1",,88,6.5,"Drama","Movie/Mini-Series","April 5, 1998",24
"Sex and the City","HBO",": Season 1",52,83,8.2,"Comedy","Drama","June 6, 1998",64
"Sports Night","ABC",": Season 1",,90,,"Comedy","Drama","September 22, 1998",21
"Felicity","WB,The WB,TWB",": Season 1",,90,8.4,"Drama",,,42
"Alias","ABC",": Season 1",,90,8.1,"Drama","Action & Adventure","September 30, 2001",121
"Smallville","WB,The CW",": Season 1",,90,8,"Drama","Action & Adventure",,165
24,"FOX",": Season 1",,90,8.8,"Drama","Action & Adventure","November 6, 2001",273
"The Shield","FX",": Season 1",,90,9.3,"Drama","Action & Adventure","March 12, 2002",207
"The Wire","HBO",": Season 1",,90,9.3,"Drama","Suspense","June 2, 2002",647
"Push, Nevada","ABC",": Season 1",,91,,"Drama","Suspense","September 17, 2002",18
"Everwood","WB,The WB,TWB",": Season 1",,91,,"Drama",,,29
"Firefly","FOX",": Season 1",,90,8.3,"Drama","Suspense","September 20, 2002",508
"CSI: Miami","CBS",": Season 1",,91,6.2,"Drama","Suspense","September 23, 2002",57
"Without a Trace","CBS",": Season 1",,90,,"Drama","Suspense","September 26, 2002",36
"Birds of Prey","WB,The WB,TWB",": Season 1",58,80,7.2,"Drama","Action & Adventure",,35
24,"FOX",": Season 2",,80,8.8,"Drama","Action & Adventure","October 29, 2002",146
"State of Play","BBC-1,BBC,BBC America",": Season 1",,80,8.6,"Drama","Suspense",,11
"The Wire","HBO",": Season 2",,90,9.1,"Drama","Suspense","June 1, 2003",395
"Nip/Tuck","FX",": Season 1",,90,7.4,"Drama",,"July 22, 2003",57
"The O.C.","FOX",": Season 1",,90,6.8,"Comedy","Drama","August 5, 2003",85
"Carnivale","HBO",": Season 1",,80,8.4,"Drama","Fantasy","September 14, 2003",97
"One Tree Hill","The CW,TWB",": Season 1",46,80,8.1,"Drama",,,74
"The Sopranos","HBO",": Season 1",,90,9.4,"Drama","Suspense","January 10, 1999",433
"NCIS","CBS",": Season 1",51,80,8,"Comedy","Drama","September 23, 2003",145
"Farscape","Syfy,Sci-Fi",": Season 1",,90,8.6,"Drama","Action & Adventure",,69
"Law & Order: Special Victims Unit","NBC",": Season 1",,90,8.2,"Drama","Action & Adventure","September 20, 1999",72
"The West Wing","NBC",": Season 1",,91,8.7,"Drama",,"September 22, 1999",103
"Freaks and Geeks","NBC",": Season 1",,90,8.8,"Comedy","Drama","September 25, 1999",192
"Angel","WB,The WB,TWB",": Season 1",,90,8.6,"Drama","Action & Adventure",,201
"Popular","WB,The WB,TWB",": Season 1",54,80,,"Comedy","Drama",,26
"Roswell","WB,UPN,The WB",": Season 1",,90,7.3,"Drama","Science Fiction",,40
"The Sopranos","HBO",": Season 2",,,9.3,"Drama","Suspense","January 16, 2000",248
"Harsh Realm","FOX",": Season 1",53,90,,"Drama","Action & Adventure","October 8, 1999",26
"The Corner","HBO",": Season 1",,90,8.1,"Drama","Movie/Mini-Series","April 16, 2000",36
"Gilmore Girls","WB,The WB,Netflix",": Season 1",,91,8.5,"Comedy","Drama",,105
"CSI","CBS",": Season 1",58,90,6.6,"Drama","Suspense","October 6, 2000",62
"The Fugitive","CBS",": Season 1",,91,,"Drama","Action & Adventure","October 6, 2000",26
"Ed","NBC",": Season 1",,90,6.2,"Comedy","Drama","October 8, 2000",41
"Queer as Folk","SHOWTIME",": Season 1",,90,8.9,"Drama","Health & Lifestyle","December 3, 2000",65
"The Sopranos","HBO",": Season 3",,75,9.4,"Drama","Suspense","March 4, 2001",226
"Six Feet Under","HBO",": Season 1",,83,8.4,"Comedy","Drama","June 3, 2001",221
"Band of Brothers","HBO",": Season 1",,90,9.3,"Drama","Action & Adventure","September 9, 2001",387
"Disenchantment","Netflix",": Season 1",56,80,6.8,"Comedy","Animation","August 17, 2018",274
"Archer","FX,FXX",": Season 10",,83,7.3,"Comedy","Animation",,20
"The Tick (2017)","Amazon Prime,Prime Video",": Season 1",,91,7.4,"Comedy","Action & Adventure",,112
"Rick & Morty","Cartoon Network,Adult Swim",": Season 4",,91,,"Comedy","Animation",,173
"The Mandalorian","Disney+",": Season 1",,90,7.8,"Action & Adventure","Fantasy","November 12, 2019",405
"Genndy Tartakovsky's Primal","Adult Swim",": Season 1",,91,7.5,"Animation","Action & Adventure","October 7, 2019",48
"Harley Quinn","DC Universe",": Season 1",,90,,"Comedy","Action & Adventure","November 29, 2019",56
"Samurai Jack","Cartoon Network,Adult Swim",": Season 5",,90,9,"Animation","Action & Adventure",,243
"Other Space","Yahoo",": Season 1",,80,8.2,"Comedy","Action & Adventure","April 14, 2015",62
"DC's Legends of Tomorrow","The CW",": Season 1",58,80,,"Action & Adventure","Fantasy","January 21, 2016",369
"Archer","FX,FXX",": Season 7",,91,8.5,"Comedy","Animation",,78
"Son of Zorn","FOX",": Season 1",57,91,6.8,"Comedy","Animation","September 11, 2016",83
"Moonbeam City","Comedy Central",": Season 1",52,75,6.9,"Comedy","Animation","September 16, 2015",54
"Archer","FX,FXX",": Season 8",,83,6.1,"Comedy","Animation",,81
"SuperMansion","CRACKLE",": Season 1",59,80,7.6,"Comedy","Animation","October 8, 2015",15
"Mike Tyson Mysteries","Cartoon Network,Adult Swim",": Season 1",,83,8.5,"Comedy","Animation",,41
"72 Hours","TNT",": Season 1",45,75,,"Reality","Action & Adventure","June 6, 2013",12
"Bullet in the Face ","IFC,IFC - Independent Film Channel",": Season 1",59,70,8.2,"Comedy","Action & Adventure",,23
"Hunted","BBC,Cinemax",": Season 1",,88,6.9,"Action & Adventure",,,51
"SEAL Team Six: The Raid on Osama bin Laden","National Geographic Wild",": Season 1",54,70,,"Movie/Mini-Series","Action & Adventure","November 4, 2012",26
"Archer","FX,FXX",": Season 4",,88,9,"Comedy","Animation",,174
"Naked & Afraid","Discovery,Discovery Channel",": Season 1",,80,6.3,"Reality","Action & Adventure",,31
"Rick & Morty","Cartoon Network,Adult Swim",": Season 1",,91,9.3,"Comedy","Animation",,926
"The Wrong Mans","HULU,BBC Two",": Season 1",,83,8.5,"Comedy","Action & Adventure",,43
"Archer","FX,FXX",": Season 6",,83,8.4,"Comedy","Animation",,104
"The Last Man on Earth","FOX",": Season 1",,91,7.5,"Comedy","Action & Adventure","March 1, 2015",298
"The Almighty Johnsons","Syfy,TV3",": Season 1",,75,6.8,"Comedy","Action & Adventure",,9
"Ugly Americans","Comedy Central",": Season 1",60,83,7,"Comedy","Animation","March 17, 2010",119
"Sit Down, Shut Up","FOX",": Season 1",41,63,,"Comedy","Animation","April 19, 2009",88
"Scoundrels","ABC",": Season 1",56,75,,"Comedy","Action & Adventure","June 20, 2010",37
"The Goode Family","Comedy Central",": Season 1",,83,6.1,"Comedy","Animation","May 27, 2009",36
"Glenn Martin, DDS","Nickelodeon",": Season 1",48,80,,"Comedy","Animation","August 17, 2009",162
"Archer","FX,FXX",": Season 1",,83,9,"Comedy","Animation",,417
"Chuck","NBC",": Season 3",,88,8.6,"Comedy","Action & Adventure","January 10, 2010",164
"Archer","FX,FXX",": Season 3",,90,8.8,"Comedy","Animation",,153
"Archer","FX,FXX",": Season 2",,91,9.1,"Comedy","Animation",,244
"Blade","Spike TV",": Season 1",49,75,7.4,"Action & Adventure","Fantasy","June 28, 2006",98
"Chuck","NBC",": Season 2",,80,8.6,"Comedy","Action & Adventure","September 29, 2008",209
"Freak Show","Comedy Central,COMEDY-E",": Season 1",,80,6.4,"Comedy","Animation",,31
"Category 7: The End of the World","CBS",": Season 1",,,,"Action & Adventure",,"November 6, 2005",103
"Painkiller Jane","Syfy",": Season 1",,75,6.1,"Action & Adventure","Science Fiction","April 13, 2007",35
"Chuck","NBC",": Season 1",,83,8.4,"Comedy","Action & Adventure","September 24, 2007",433
"K-Ville","FOX",": Season 1",49,80,6.7,"Action & Adventure","Suspense","September 17, 2007",53
"Beavis and Butt-head","MTV,MTV - Music Television",": Season 8",,88,7.8,"Comedy","Animation",,69
"La Femme Nikita","USA",": Season 1",,90,8.3,"Action & Adventure",,"January 13, 1997",22
"Whodunnit?","ABC",": Season 1",43,70,7.9,"Drama","Reality","June 23, 2013",85
"21 Jump Street","FOX",": Season 1",,,,"Drama","Action & Adventure","April 12, 1987",16
"Beavis and Butt-head","MTV,MTV - Music Television",": Season 1",,90,8.1,"Comedy","Animation",,30
"Star Trek: The Next Generation","Syndicated,CBS,Other,SYN",": Season 1",51,80,8.4,"Drama","Action & Adventure",,119
"Good Vibes","MTV - Music Television",": Season 1",58,75,7.9,"Comedy","Animation","October 27, 2011",17
"King of the Hill","FOX",": Season 1",,83,8.7,"Comedy","Animation","January 12, 1997",61
"The Simpsons","FOX",": Season 2",,90,9,"Comedy","Animation","October 11, 1990",130
"Family Guy","FOX",": Season 1",53,90,7.4,"Comedy","Animation","January 31, 1999",428
"Futurama","FOX,Comedy Central",": Season 1",,90,9.1,"Comedy","Animation",,280
"Clone High, USA","TELETOON",": Season 1",60,90,,"Comedy","Animation","November 2, 2002",24
"Family Guy","FOX",": Season 4",,88,7.1,"Comedy","Animation","May 1, 2005",134
"American Dad!","FOX,TBS",": Season 1",41,70,7.6,"Comedy","Animation",,169
"Lil' Bush","Comedy Central",": Season 1",,80,,"Comedy","Animation","June 13, 2007",135
"The Boondocks","Cartoon Network,Adult Swim",": Season 1",,90,8.8,"Comedy","Animation",,297
"The Life & Times of Tim","HBO",": Season 1",57,80,8.2,"Comedy","Animation","September 28, 2008",67
"Shrek The Halls","ABC",": Season 1",,91,7.2,"Comedy","Animation","November 28, 2007",39
"The Cleveland Show","FOX",": Season 1",55,83,,"Comedy","Animation","September 27, 2009",227
"Futurama","FOX,Comedy Central",": Season 7",,83,8.4,"Comedy","Animation",,122
"The Ricky Gervais Show","HBO",": Season 1",,80,8.7,"Comedy","Animation","February 19, 2010",36
"Allen Gregory","FOX",": Season 1",40,75,,"Comedy","Animation","October 30, 2011",90
"Bob's Burgers","FOX",": Season 1",54,91,6.6,"Comedy","Animation","January 9, 2011",245
"Napoleon Dynamite","FOX",": Season 1",46,80,,"Comedy","Animation","January 15, 2012",74
"Unsupervised","FX",": Season 1",46,67,6.3,"Comedy","Animation","January 19, 2012",50
"Bob's Burgers","FOX",": Season 2",,83,8.4,"Comedy","Animation","March 11, 2012",55
"Futurama","FOX,Comedy Central",": Season 10",,88,8.4,"Comedy","Animation",,96
"Axe Cop","FOX",": Season 1",,90,7.1,"Comedy","Animation","July 21, 2013",36
"High School USA!","FOX",": Season 1",48,80,,"Comedy","Animation","July 21, 2013",27
"The Awesomes","HULU",": Season 1",60,75,6.7,"Comedy","Animation","August 1, 2013",24
"Chozen","FX",": Season 1",44,70,7.2,"Comedy","Animation","January 13, 2014",42
"F is for Family","Netflix",": Season 1",,90,7.9,"Comedy","Animation","December 18, 2015",155
"Bordertown (2016)","FOX",": Season 1",46,70,,"Comedy","Animation","January 3, 2016",58
"Animals","HBO",": Season 1",54,83,6.8,"Comedy","Animation","February 5, 2016",41
"Pacific Heat","Netflix",": Season 1",,,,"Comedy","Animation","December 2, 2016",43
"Neo Yokio","Netflix",": Season 1",,75,,"Comedy","Animation","September 22, 2017",49
"Mike Judge Presents: Tales from the Tour Bus","Cinemax",": Season 1",,91,8.2,"Comedy","Animation","September 22, 2017",21
"Big Mouth","Netflix",": Season 1",,91,6.6,"Comedy","Animation","September 29, 2017",232
"Our Cartoon President","SHOWTIME",": Season 1",42,67,,"Comedy","Animation","February 11, 2018",42
"Big Mouth","Netflix",": Season 2",,91,6.9,"Comedy","Animation","October 5, 2018",138
"Final Space","Adult Swim,TBS",": Season 1",60,83,7.9,"Comedy","Animation",,146
"Love, Death & Robots","Netflix",": Season 1",,80,8.7,"Comedy","Animation","March 15, 2019",248
"Rocko’s Modern Life: Static Cling","Netflix",": Season 1",,91,,"Comedy","Animation","August 9, 2019",16
"Bless the Harts","FOX",": Season 1",,90,6.3,"Comedy","Animation","September 29, 2019",17
"Tuca & Bertie","Netflix",": Season 1",,91,7.2,"Comedy","Animation","May 3, 2019",61
"Big Mouth","Netflix",": Season 3",,91,6.6,"Comedy","Animation","October 4, 2019",42
"Broad City","Comedy Central",": Season 5",,91,7.9,"Comedy",,"January 24, 2019",21
"Fleabag","Amazon Prime,Prime Video,Amazon Prime Video",": Season 2",,95,8.7,"Comedy",,,235
"Los Espookys","HBO",": Season 1",,91,6.7,"Comedy",,"June 14, 2019",27
"Alternatino with Arturo Castro","Comedy Central",": Season 1",,83,,"Comedy",,"June 18, 2019",8
"Aziz Ansari: Right Now","Netflix",": Season 1",,85,6.1,"Comedy",,"July 9, 2019",39
"A Black Lady Sketch Show","HBO",": Season 1",,95,,"Comedy",,"August 2, 2019",40
"GLOW","Netflix",": Season 3",,91,6.7,"Comedy",,"August 9, 2019",60
"The Righteous Gemstones","HBO",": Season 1",,91,6.8,"Comedy",,"August 18, 2019",42
"A Little Late with Lilly Singh","NBC",": Season 1",,70,,"Comedy","Talk & Interview","September 16, 2019",12
"Russian Doll","Netflix",": Season 1",,90,7.8,"Comedy",,"February 1, 2019",359
"Bob Hearts Abishola","CBS",": Season 1",57,80,,"Comedy",,"September 23, 2019",23
"PEN15","HULU",": Season 1",,90,6.8,"Comedy",,"February 8, 2019",74
"One Day at a Time (2017)","Netflix",": Season 3",,95,8.1,"Comedy",,"February 8, 2019",41
"Miracle Workers (2019)","TBS",": Season 1",,88,,"Comedy",,"February 12, 2019",52
"Weird City","YouTube Premium",": Season 1",,83,,"Comedy","Science Fiction","February 13, 2019",21
